runnum launchtime launch gpuCTag positrons calo12ratio
742 -1 -1 0 -1 -nan
743 -1 -1 0 -1 -nan
744 -1 -1 288 -1 1
745 -1 -1 0 -1 -nan
746 -1 -1 3792 -1 1
747 -1 -1 -1 -1 -1
748 -1 -1 -1 -1 -1
749 -1 -1 576 -1 1
750 -1 -1 576 -1 1
751 -1 -1 623 -1 1
752 -1 -1 576 -1 1
753 -1 -1 576 -1 1
754 -1 -1 576 -1 1
755 -1 -1 576 -1 1
756 -1 -1 -1 -1 -1
757 -1 -1 288 -1 1
758 -1 -1 3225 -1 0.999979
759 198800 2300 491 18 1.21053
760 193200 7133 471 47 2.67442
761 193200 3518 541 43 1.04545
762 193200 3175 513 45 0.958333
763 -1 -1 470 -1 1.7037
764 -1 -1 508 -1 0
765 193200 633 485 1 0
766 193200 845 0 0 -nan
767 193200 4332 466 8 0
768 187600 7389 472 37 1.24324
769 187600 2153 455 4 0
770 187600 4959 421 11 2.3
771 187600 7688 514 18 0
772 187600 3232 476 14 1.4375
773 -1 -1 473 -1 -nan
774 187600 7836 491 25 1.91667
775 193200 6819 898 43 0.522727
776 193200 3749 918 21 0
777 193200 2855 876 6 0
778 193200 975 844 8 0
779 -1 -1 0 -1 -nan
780 -1 -1 0 -1 -nan
781 -1 -1 0 -1 -nan
782 -1 -1 465 -1 1.64286
783 -1 -1 0 -1 -nan
784 -1 -1 0 -1 -nan
785 -1 -1 -1 -1 -1
786 -1 -1 0 -1 -nan
787 -1 -1 0 -1 -nan
788 -1 -1 930 -1 1.53333
789 -1 -1 -1 -1 -1
790 -1 -1 0 -1 -nan
791 198800 708 1209 14 0
792 -1 -1 -1 -1 -1
793 -1 -1 0 -1 -nan
794 198800 1025 827 25 0
795 198800 337 1538 18 0
796 -1 -1 0 -1 -nan
797 -1 -1 0 -1 -nan
798 -1 -1 -1 -1 -1
799 -1 -1 -1 -1 -1
800 -1 -1 0 -1 -nan
801 -1 -1 0 -1 -nan
802 -1 -1 1875 -1 0
803 -1 -1 14895 -1 0.37355
804 -1 -1 624 -1 -nan
805 -1 -1 6703 -1 0.547619
806 -1 -1 0 -1 -nan
807 -1 -1 0 -1 -nan
808 193200 113465 24957 1774 1.0254
809 193200 122524 24148 1803 0.947661
810 193200 2633 600 39 0.605263
811 193200 66924 12605 873 1.00807
812 187600 1403 5039 26 0
813 187600 9712 2375 119 0.552
814 187600 7495 1787 79 0.575
815 -1 -1 -1 -1 -1
816 193200 7985 1816 126 1.33058
817 193200 7441 1857 123 1.34167
818 193200 5595 559 75 0.597403
819 193200 6843 1238 85 0.258427
820 -1 -1 0 -1 -nan
821 193200 5754 1207 64 0.71875
822 193200 3381 4786 42 0.547619
823 -1 -1 513 -1 -nan
